from,to,weight,relationship
1,2,3,2
2,3,2,2
2,4,3,2
2,5,2,1
2,6,2,2
3,4,3,2
3,5,1,1
3,6,2,1
3,8,2,1
3,10,2,1
3,12,2,1
3,14,1,1
3,15,1,1
3,17,1,1
3,19,1,2
3,21,1,1
3,23,2,1
3,25,1,2
4,5,1,2
4,6,1,1
4,9,2,2
4,13,1,1
5,6,1,2
5,7,2,2
5,11,1,2
6,7,2,1
6,11,1,1
6,18,1,1
6,24,2,1
6,36,2,1
6,38,2,1
7,8,1,2
7,10,1,2
7,12,1,1
7,14,2,2
7,15,1,1
7,17,2,1
7,19,1,2
7,21,2,1
7,23,2,2
7,25,1,1
8,9,2,2
8,10,1,2
8,12,1,1
8,14,1,2
8,15,2,1
8,17,2,2
8,19,1,1
8,21,2,1
8,23,1,1
8,25,2,2
10,11,2,1
10,12,1,1
10,14,1,1
10,15,1,1
10,17,1,1
10,19,1,2
10,21,2,1
10,23,2,1
10,25,2,1
12,13,2,1
12,14,1,2
12,15,1,1
12,17,2,1
12,19,1,2
12,21,1,1
12,23,1,1
12,25,1,1
14,15,1,1
14,17,2,1
14,18,1,1
14,19,1,1
14,21,1,1
14,23,1,1
14,25,1,1
14,26,1,1
15,16,1,1
15,17,1,1
15,19,1,1
15,21,1,1
15,23,1,1
15,25,1,1
15,26,1,1
17,18,1,1
17,19,1,1
17,21,1,1
17,23,1,1
17,24,1,1
17,25,1,1
17,29,1,1
19,20,1,1
19,21,1,1
19,23,2,1
19,24,1,1
19,25,1,1
19,27,1,1
19,29,1,1
19,38,1,1
19,39,1,1
21,22,1,1
21,24,1,1
21,28,1,1
23,24,1,1
23,27,1,1
23,32,1,1
25,26,1,1
26,27,1,1
26,28,1,1
26,29,1,1
26,30,1,1
27,28,1,1
27,29,1,2
27,30,1,1
29,30,2,2
30,31,1,1
30,32,1,1
30,34,1,1
30,35,1,1
31,34,1,1
31,28,1,1
32,33,1,1
32,36,1,1
33,34,1,1
33,41,1,1
34,35,2,1
35,36,2,1
35,38,2,1
37,39,2,1
37,40,2,1
45,44,2,1
46,44,1,1
45,1,2,1
44,36,1,1
46,37,1,1
40,46,1,1
44,6,1,1
47,46,1,1 
42,46,1,1 
43,37,1,1
48,1,1,1
49,42,1,1
