id,name,name_short,type,sex,branche,party,politician
1,"Verband für Stadt-, Regional-, und Landesplanung ",VSRL,2,,2,,F
2,"Prof. Dr, Heiner Monheim ",Heiner Monheim ,1,1,,,F
3,Aktive Parkschützer,Parkschützer,2,,3,,F
4,Dr. Gregor Gysi ,Gregor Gysi,1,1,,Die Linke ,T
5,Johanna Tjarks ,Johanna Tjarks,1,2,,"Fraktionsgemeinschaft ""Die Fraktion"" ",T
6,Steffen Siegel ,Steffen Siegel ,1,1,,,F
7,Schutzgemeinschaft Filder,SGF ,2,,3,,F
8,Hans Heydemann,Hans Heydemann,1,1,,,F
9,Ingenieure22,Ingenieure22 ,2,,2,,F
10,Dieter Reicherter ,Dieter Reicherter ,1,1,,,F
11,KONTEXT: Wochenzeitung ,KONTEXT,2,,9,,F
12,Judith Scheytt,Judith Scheytt,1,2,,,F
13,Deutscher Gewerkschaftsbund ,DGB,2,,3,,F
14,Nisha Toussaint ,Nisha Toussaint,1,2,,,F
15,Tom Adler ,Tom Adler,1,1,,,F
16,Bei Abriss Aufstand,BAA,2,,2,,F
17,Winfried Wolf ,Winfried Wolf,1,1,,,F
18,Bund für Umwelt und Naturschutz Deutschland ,BUND,2,,3,,F
19,Klaus Gebhardt,Klaus Gebhardt ,1,1,,,F
20,Deutscher Eisenbahnbundesverein,DEBV,2,,3,,F
21,Hagen von Ortloff ,Hagen von Ortloff ,1,1,,,F
22,Gewerkschaft der Polizei,GDP,2,,3,,F
23,Peter Lenk ,Peter Lenk ,1,1,,,F
24,Für K21,FK21,2,,3,,F
25,Simon ,Simon,1,1,,,F
26,Letzte Generation ,Letzte Generation ,2,,3,,F
27,Christian List ,Christian List ,1,1,,,F
28,Laufen für Stuttgart 21,Laufen für S21,2,,3,,F
29,Steffen Kauderer,Steffen Kauderer,1,1,,,F
30,Laufen gegen Stuttgart 21/Ausstieg jetzt ,Ausstieg jetzt,2,,3,,F
31,Mahnwache ,Mahnwache ,2,,3,,F
32,Arbeitsgruppe Umstieg ,Umstieg AG,2,,3,,F
33,Peter Müller,Peter Müller ,1,1,,,F
34,Montagsdemonstation,Montagsdemo ,2,,3,,F
35,Michael Kaufmann ,Michael Kaufmann ,1,1,,,F
36,Badener gegen Stuttgart 21,Badener gegen S21,2,,3,,F
37,Jürgen Resch ,Jürgen Resch ,1,1,,,F
38,Deutsche Umwelthilfe ,Umwelthilfe,2,,3,,F
39,Aktionsbündnis gegen Stuttgart 21, Aktion gegen S21,2,,,,F
40,Gewerkschafter gegen Stuttgart 21,Gewerkschafter gegen S21,2,,,,F
41,ArchitektInnen für Kopfbahnof21, ArchitektInnen für K21,2,,,,F
42,Bündnis Bahn für alle, BB für alle ,2,,,,F
43,TheologInnen gegen Stuttgart 21, TheologInnen gegen S21,2,,,,F
44,Klaus Riedel,Klaus Riedel,1,1,,SPD,T
45,SPD gegen Stuttgart 21, SPD gegen S21 ,2,,,,F
46,Peter Gürlich,Peter Gürlich ,1,1,,SPD,T
47,Gangolf Stocker ,Gangolf Stocker ,1,1,,SOES,T
48,Hannes Rockenbauch ,Hannes Rockenbauch,1,1,,SOES,T
49,Werner Wölfle ,Werner Wölfle ,1,1,,Gruene,T
