from,to,weight,relationship
4,1,2,1
4,2,2,1
4,3,2,1
5,3,2,1
5,6,1,1
5,7,2,1
8,3,2,1
8,4,1,1
8,9,2,1
10,3,2,1
11,3,2,1
12,3,2,1
13,3,2,1
14,3,2,1
15,3,1,1
16,3,2,1
17,3,1,1
18,3,1,1
19,3,1,1
20,3,1,1
21,3,1,1
22,23,2,1
24,25,2,1
26,24,1,1
27,24,1,1
27,25,1,1
28,29,2,1
29,39,2,1
29,30,2,2
30,28,2,1
41,43,2,1
31,29,2,2
31,28,2,1
41,44,2,1
32,28,2,1
33,40,1,1
41,45,2,1
34,35,2,1
34,9,2,1
34,3,1,1
34,36,2,1
37,35,2,1
45,44,2,1
38,4,2,1
3,25,2,1
3,28,2,1
3,33,2,1
3,22,2,1
3,9,2,1
3,37,2,1
44,46,2,1
45,46,2,1
31,42,2,1
31,46,2,1
31,47,2,2
48,57,2,1
47,30,2,2
48,49,1,1
49,4,2,1
47,2,1,1
48,4,2,1
55,3,2,1
55,4,2,1
56,3,2,1
56,4,2,1
51,3,2,1
51,4,2,1
50,51,2,1
50,4,2,1
52,51,2,1
52,53,2,1
54,53,2,1
54,55,2,1
54,42,2,1
54,56,2,1
54,40,2,1
40,56,2,1
54,30,2,2
75,76,1,1
77,75,1,1
77,76,1,1
87,75,1,1
87,76,1,1
87,77,1,1
88,87,2,1
88,75,2,1
88,76,2,1
88,77,2,1
88,54,2,1
54,78,1,1
54,83,1,1
54,79,1,1
54,31,1,1
80,79,1,1
79,81,1,1
80,82,1,1
81,82,1,1
71,31,1,1
71,58,2,1
82,66,2,1
66,58,1,1
66,68,1,1
68,69,2,2
68,67,1,2
67,58,1,1
69,58,1,1
66,65,1,1
65,58,1,1
65,54,1,1
64,58,1,1
63,64,1,1
63,58,1,1
63,62,1,1
62,58,1,1
62,61,1,1
61,58,1,1
60,61,1,1
60,58,1,1
89,60,1,1
60,3,1,1
90,91,2,1
90,60,2,2
90,3,1,1
91,3,2,1
60,59,1,1
59,58,1,1
59,40,1,1
40,58,1,1
62,92,1,1
84,85,1,1
85,30,1,1
30,84,1,1
84,92,1,1
85,92,1,1
30,92,1,1
93,4,1,1
94,4,1,1
95,4,1,1
95,100,1,1
96,4,1,1
80,105,1,1
81,100,1,1
96,101,2,1
97,4,1,1
98,9,2,1
13,37,1,1
16,99,1,1
18,99,2,1
34,99,1,1
48,28,2,1
104,103,2,1
39,104,1,1
99,103,2,1
99,39,2,1
99,4,2,1
105,4,2,1
100,4,2,1
83,99,1,1
83,3,2,1
98,102,1,1
106,3,1,1
106,70,1,1
74,4,1,1
72,106,1,1
106,56,2,1
72,56,1,1
86,31,1,1
73,4,2,1
73,3,1,1
73,31,1,1
73,86,1,1
57,47,2,1
